2020-10-02 18:53:33	Angie Palmer	Road	Footprints In The Snow
2020-10-17 14:03:03	Lloyd Cole and The Commotions	Easy Pieces (Remastered)	Grace - Remastered
2020-10-17 14:23:42	Lloyd Cole and The Commotions	Easy Pieces (Remastered)	Minor Character - Remastered
2020-10-17 14:27:26	Lloyd Cole and The Commotions	Easy Pieces (Remastered)	Perfect Blue - Remastered
2020-10-17 14:32:05	Lloyd Cole and The Commotions	Rattlesnakes	Speedboat
2020-10-17 14:36:42	The Waterboys	Fisherman's Blues	Sweet Thing - 2006 Remaster
2020-10-17 15:58:48	The Jayhawks	Xoxo	This Forgotten Town
2020-10-17 16:11:59	The Jayhawks	Xoxo	Dogtown Days
2020-10-17 22:57:55	David Bowie	The Man Who Sold The World (2015 Remaster)	The Width of a Circle - 2015 Remaster
2020-10-17 23:06:09	David Bowie	The Man Who Sold The World (2015 Remaster)	All the Madmen - 2015 Remaster
2020-10-17 23:11:54	David Bowie	The Man Who Sold The World (2015 Remaster)	Black Country Rock - 2015 Remaster
2020-10-17 23:15:32	David Bowie	The Man Who Sold The World (2015 Remaster)	After All - 2015 Remaster
2020-10-18 10:34:06	The Jayhawks	Xoxo	This Forgotten Town
2020-10-18 10:38:03	The Jayhawks	Xoxo	Dogtown Days
2020-10-18 10:41:23	The Jayhawks	Xoxo	Living In A Bubble
2020-10-19 19:55:53	Greg Mason	Stone Crush: Memphis Modern Soul 1977-1987	What Does It Take To Know (A Woman Like You)
2020-10-19 19:59:23	Shin Joong Hyun & The Men	Beautiful Rivers And Mountains: The Psychedelic Rock Sound Of South Korea's Shin Joong Hyun 1958-1974	Beautiful Rivers and Mountains
2020-10-19 20:09:30	Gigi Masin	Les Nouvelles Musiques De Chambre, Vol. 2	Clouds
2020-10-19 20:14:35	Acetone	1992 - 2001	Shore Power
2020-10-19 20:19:12	Jim Sullivan	U.F.O.	U.F.O.
2020-10-19 20:22:03	Donnie & Joe Emerson	Dreamin' Wild	Give Me The Chance
2020-10-19 20:24:59	Karin Krog	Don't Just Sing: A Karin Krog Anthology 1963-1999	Lazy Afternoon
2020-10-19 20:29:37	Supreme Jubilees	It'll All Be Over	It'll all be over
2020-10-19 20:32:45	Lee Hazlewood	A House Safe For Tigers Soundtrack	Souls Island
2020-10-19 20:39:29	Emma Swift	Blonde On The Tracks	queen jane approximately
2020-10-19 20:44:00	Emma Swift	Blonde On The Tracks	I Contain Multitudes
2020-10-19 20:50:00	Emma Swift	Blonde On The Tracks	one of us must know (sooner or later)
2020-10-19 20:55:00	Emma Swift	Blonde On The Tracks	simple twist of fate
2020-10-19 22:33:49	Emma Swift	Blonde On The Tracks	sad eyed lady of the lowlands
2020-10-19 22:45:49	Emma Swift	Blonde On The Tracks	The Man In Me
2020-10-19 22:49:16	Emma Swift	Blonde On The Tracks	going going gone
2020-10-19 22:52:47	Emma Swift	Blonde On The Tracks	you're a big girl now
2020-10-20 22:42:12	JARV IS...	Beyond The Pale	Save The Whale
2020-10-20 22:46:42	JARV IS...	Beyond The Pale	Must I Evolve?
2020-10-20 22:53:35	JARV IS...	Beyond The Pale	Am I Missing Something?
2020-10-21 09:02:00	Orange Juice	Coals To Newcastle	Poor Old Soul - John Peel BBC session '80
2020-10-21 09:52:06	Aztec Camera	Knife (Expanded)	Still On Fire
2020-10-21 09:56:02	Aztec Camera	Knife (Expanded)	Just Like the USA
2020-10-21 10:00:06	Aztec Camera	Knife (Expanded)	Head Is Happy - Heart's Insane
2020-10-21 10:04:23	Aztec Camera	Knife (Expanded)	Backdoor To Heaven
2020-10-21 10:09:46	Aztec Camera	Knife (Expanded)	All I Need Is Everything
2020-10-21 10:15:29	Aztec Camera	Knife (Expanded)	Backwards and Forwards
2020-10-21 10:19:43	Aztec Camera	Knife (Expanded)	Birth of the True
2020-10-21 10:28:23	Aztec Camera	Knife (Expanded)	Knife
2020-10-21 12:00:40	Aztec Camera	Knife (Expanded)	All I Need Is Everything - 7" Edit
2020-10-21 12:04:28	Aztec Camera	Knife (Expanded)	Jump
2020-10-21 12:07:18	Aztec Camera	Knife (Expanded)	All I Need Is Everything - Remix
2020-10-21 12:13:25	Aztec Camera	Knife (Expanded)	Jump - Loaded Version
2020-10-21 12:18:57	Orange Juice	Coals To Newcastle	You Old Eccentric - John Peel BBC session '80
2020-10-21 12:21:19	Orange Juice	Coals To Newcastle	Falling And Laughing - John Peel BBC session '80
2020-10-21 23:18:38	The Chicks	Gaslighter	Gaslighter
2020-10-21 23:22:10	The Chicks	Gaslighter	Sleep at Night
2020-10-21 23:25:25	The Chicks	Gaslighter	Texas Man
2020-10-21 23:29:00	The Chicks	Gaslighter	Everybody Loves You
2020-10-21 23:33:14	The Chicks	Gaslighter	For Her
2020-10-21 23:38:50	The Chicks	Gaslighter	March March
2020-10-21 23:44:19	Pretenders	Hate for Sale	Turf Accountant Daddy
2020-10-21 23:47:16	Pretenders	Hate for Sale	You Can't Hurt a Fool
2020-10-21 23:50:37	Pretenders	Hate for Sale	I Didn't Know When to Stop
2020-10-21 23:53:03	Pretenders	Hate for Sale	Maybe Love Is in NYC
2020-10-21 23:56:29	Pretenders	Hate for Sale	Junkie Walk
2020-10-23 16:39:00	Lloyd Cole	Love Story	Trigger Happy   
2020-10-23 16:43:28	Lloyd Cole	Love Story	Sentimental Fool
2020-10-23 16:46:52	Lloyd Cole	Love Story	I Didn't Know That You Cared
2020-10-23 16:51:04	Lloyd Cole	Love Story	Love Ruins Everything
2020-10-23 16:55:00	Lloyd Cole	Love Story	Baby
2020-10-23 16:59:00	Lloyd Cole	Love Story	Be There
2020-10-23 17:04:00	Lloyd Cole	Love Story	Unhappy Song (The June Bride)
2020-10-23 17:08:00	Lloyd Cole	Love Story	Like Lovers Do
2020-10-23 17:12:00	Lloyd Cole	Love Story	Happy For You 
2020-10-23 17:16:00	Lloyd Cole	Love Story	Traffic        
2020-10-23 17:20:00	Lloyd Cole	Love Story	Let's get Lost 
2020-10-23 17:24:00	Lloyd Cole	Love Story	For Crying Out Loud
2020-10-23 22:19:09	The Chicks	Gaslighter	My Best Friend's Weddings
2020-10-23 22:23:31	The Chicks	Gaslighter	Tights On My Boat
2020-10-23 22:26:35	The Chicks	Gaslighter	Julianna Calm Down
2020-10-23 22:35:35	The Chicks	Gaslighter	Hope It's Something Good
2020-10-23 22:37:00	The Chicks	Gaslighter	Young Man               
2020-10-23 22:39:42	The Chicks	Gaslighter	Set Me Free
2020-10-23 22:43:34	Laura Marling	Song For Our Daughter	Song For Our Daughter
2020-10-23 22:47:43	Laura Marling	Song For Our Daughter	Fortune
2020-10-23 22:51:40	Laura Marling	Song For Our Daughter	The End Of The Affair
2020-10-23 22:55:07	Laura Marling	Song For Our Daughter	Hope We Meet Again
2020-10-23 22:59:14	Laura Marling	Song For Our Daughter	For You
2020-10-23 23:03:45	JARV IS...	Beyond The Pale	Am I Missing Something?
2020-10-23 23:10:34	JARV IS...	Beyond The Pale	House Music All Night Long
2020-10-24 12:38:23	Orange Juice	Coals To Newcastle	Falling And Laughing - John Peel BBC session '80
2020-10-24 12:41:51	Orange Juice	Coals To Newcastle	Lovesick - John Peel BBC session '80
2020-10-24 12:44:17	Orange Juice	Coals To Newcastle	Upwards And Onwards - Richard Skinner BBC session '81
2020-10-25 22:38:55	The Jayhawks	Xoxo	Society Pages
2020-10-25 22:43:37	The Jayhawks	Xoxo	Illuminate
2020-10-25 22:48:12	The Jayhawks	Xoxo	Bitter Pill
2020-10-25 22:51:37	The Jayhawks	Xoxo	Across My Field
2020-10-25 22:56:34	The Jayhawks	Xoxo	Little Victories
2020-10-25 23:00:20	The Jayhawks	Xoxo	Down to the Farm
2020-10-25 23:03:52	The Jayhawks	Xoxo	Looking up Your Number
2020-10-25 23:14:19	Paul Weller	On Sunset (Deluxe)	Village
2020-10-25 23:17:38	Young Marble Giants	Colossal Youth	Include Me Out
2020-10-25 23:23:27	Bob Dylan	Good as I Been to You	Frankie & Albert
2020-10-25 23:27:18	Bob Dylan	Good as I Been to You	Jim Jones
2020-10-28 22:45:00	The Jayhawks	Xoxo	This Forgotten Town
2020-10-28 22:48:47	The Jayhawks	Xoxo	Dogtown Days
2020-10-28 22:52:05	The Jayhawks	Xoxo	Living In A Bubble
2020-10-28 22:55:53	The Chicks	Gaslighter	Gaslighter
2020-10-28 22:59:18	The Chicks	Gaslighter	Sleep at Night
2020-10-28 23:03:00	The Chicks	Gaslighter	Texas Man
2020-10-28 23:05:48	The Chicks	Gaslighter	Everybody Loves You
2020-10-28 23:09:27	The Chicks	Gaslighter	For Her
2020-10-28 23:15:42	JARV IS... & Jarvis Cocker	Beyond the Pale	Sometimes I Am Pharoah
2020-10-28 23:21:01	JARV IS... & Jarvis Cocker	Beyond the Pale	Swanky Modes
2020-10-28 23:25:38	JARV IS... & Jarvis Cocker	Beyond the Pale	Children of the Echo
2020-10-28 23:33:30	Prefab Sprout	Jordan: The Comeback	Jordan: The Comeback (Single Version)
2020-10-28 23:37:43	Prefab Sprout	Jordan: The Comeback	Looking For Atlantis
2020-10-29 16:02:52	Furniture	The Wrong People	Shake Like Judy Says
2020-10-29 16:07:30	Furniture	The Wrong People	Love Your Shoes
2020-10-29 16:10:56	Furniture	The Wrong People	Brilliant Mind
2020-10-29 16:14:41	Furniture	The Wrong People	She Gets Out The Scrapbook
2020-10-29 16:20:39	Furniture	The Wrong People	I Miss You
2020-10-29 16:25:14	Furniture	The Wrong People	Make Believe I'm Him
2020-10-29 22:28:01	The Jayhawks	Xoxo	Illuminate
2020-10-29 22:32:40	The Jayhawks	Xoxo	Bitter Pill
2020-10-29 22:36:05	The Jayhawks	Xoxo	Across My Field
2020-10-29 22:40:59	The Jayhawks	Xoxo	Little Victories
2020-10-29 22:44:46	The Jayhawks	Xoxo	Down to the Farm
2020-10-29 22:48:15	The Jayhawks	Xoxo	Looking up Your Number
2020-10-29 22:52:04	The Waterboys	Good Luck, Seeker	The Soul Singer
2020-10-29 22:56:48	The Waterboys	Good Luck, Seeker	(You've Got To) Kiss A Frog Or Two
2020-10-29 23:00:38	The Waterboys	Good Luck, Seeker	Low Down In The Broom
2020-10-29 23:16:12	The Waterboys	Good Luck, Seeker	Dennis Hopper
2020-10-29 23:19:23	The Waterboys	Good Luck, Seeker	Freak Street
2020-10-29 23:22:00	The Waterboys	Good Luck, Seeker	Sticky Fingers
2020-10-29 23:22:46	The Waterboys	Good Luck, Seeker	Why Should I Love You?
2020-10-30 08:40:07	Orange Juice	Coals To Newcastle	Poor Old Soul - John Peel BBC session '80
2020-10-30 08:42:42	Orange Juice	Coals To Newcastle	Blokes on 45 - John Peel BBC session '81
2020-10-30 08:47:08	Orange Juice	Coals To Newcastle	Upwards And Onwards - Richard Skinner BBC session '81
2020-10-30 08:49:33	Orange Juice	Coals To Newcastle	Holiday Hymn - John Peel BBC session '81
2020-10-30 08:52:40	Orange Juice	Coals To Newcastle	I Can't Help Myself - Kid Jensen BBC session '82
2020-10-30 21:59:48	The Waterboys	Good Luck, Seeker	My Wanderings in the Weary Land
2020-10-30 22:06:38	The Waterboys	Good Luck, Seeker	Postcard From The Celtic Dreamtime
2020-10-30 22:10:50	The Waterboys	Good Luck, Seeker	Good Luck, Seeker
2020-10-30 22:13:37	The Waterboys	Good Luck, Seeker	Beauty In Repetition
2020-10-30 22:15:26	The Waterboys	Good Luck, Seeker	Everchanging
2020-10-30 22:17:18	The Waterboys	Good Luck, Seeker	The Land Of Sunset
2020-10-30 22:30:00	The Chicks	Gaslighter	My Best Friend's Weddings
2020-10-30 22:34:32	The Chicks	Gaslighter	Tights On My Boat
2020-10-30 22:37:36	The Chicks	Gaslighter	Julianna Calm Down
2020-10-30 22:42:18	The Chicks	Gaslighter	Young Man
